																																		
	F	F	F	F	F	F	F	F	F	F	F		F	F	F	F	F		F	DR	F	F	F	DL	F	F	F	F	F	F	F	F	F	
											F		F	F	F	F	F		F		F	F	F										F	
			F	F	F		F	F	F		F	DR	F	F	F	F	F		F	DR	F	F	F		F	DR	F	F	F				F	
			F		F		F	F	F								F		F						F		F	F	F				F	
			F		F		F	F	F	DPL	F	F	F	F	F		F		F	F	F	F	F	F	F		F	F	F				F	
			DB												F		F																DB	
			F	F	F				F	F	F	F	F	F	F		F	F	F	F	F	DPR	F	F	F	F	F	F	F	DL	F	F	F	
			F	F	F				F				DPB										F	F	F	F	F	F	F		F	F	F	
			F	F	F	DL	F	F	F		F	F	F	F	F	F	F		F	F	F		F	F	F	F	F	F	F		F	F	F	
			DT				DPB				F	F	F	F	F	F	F				DB		F	F	F	F	F	F	F		F	F	F	
			F		F	F	F	F	F		F	F	F	F	F	F	F	DL	F	F	F	DL	F	F	F	F	F	F	F		F	F	F	
			F		F	F	F	F	F		F	F	F	F	F	F	F		F	F	F				F						F	F	F	
			F		F	F	F	F	F		F	F	F	F	F	F	F		F	F	F	DL	F	F	F		F	F	F		F	F	F	
			F				F																		F		F				DT			
			F		F	F	F						F	F	F	F	F				F	F	F		F	F	F		F	F	F			
			F		F	F	F						DB				F				F	F	F				F		F	F	F			
	F	F	F		F	F	F						F	F	F		F				F	F	F		F		F		F	F	F			
	F	F	F		F	F	F						F	F	F		F				F	F	F		F		F		F	F	F			
	F	F	F		F	F	F						F	F	F		F	F	F	DR	F	F	F		F	F	F		F	F	F			
	F	F	F		F	F	F																DT				DB		DT					
	F	F	F	F	F	F	F	DPL	F	DR	F	F	F	F	F	F	F	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	
			F								F	F	F	F	F	F	F	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	
	F	F	F		F		F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	DL	F	F	F	F	F	F	F	F	F	F	F	
	F	F	F		F		F				F	F	F	F	F	F	F	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	
	F	F	F		F		F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	
	DT				F		F	F	F		F	F	F	F	F		F												F	F	F	F	F	
F	F		F	F	F		F	F	F		F	F	F	F	F		F	F	F	F	F		F	F	F	F	F		F	F	F	F	F	
	F		F		F		F	F	F		F	F	F	F	F		F	F	F	F	F		F	F	F	F	F		F	F	F	F	F	
	F		F		F		F	F	F		F	F	F	F	F		F	F	F	F	F		F	F	F	F	F		F	F	F	F	F	
	F				F						F	F	F	F	F		F	F	F	F	F		F	F	F	F	F		F	F	F	F	F	
	F		F	F	F	F	F		F		F	F	F	F	F		F	F	F	F	F	DL	F	F	F	F	F		F	F	F	F	F	
	DB		DB				F		F								DT										DT						DT	
	F	F	F		F		F	F	F		F	F	F	F	F	DL	F	F	F	F	F		F	F	F	F	F		F	F	F	F	F	
	F	F	F		F				F		F	F	F	F	F		F	F	F	F	F		F	F	F	F	F		F	F	F	F	F	
	F	F	F		F	F	F		F		F	F	F	F	F		F	F	F	F	F		F	F	F	F	F		F	F	F	F	F	
							DB		F		F	F	F	F	F		F	F	F	F	F		F	F	F	F	F		F	F	F	F	F	
			F	F	F	F	F		F		F	F	F	F	F		F	F	F	F	F	DL	F	F	F	F	F		F	F	F	F	F	
			F	F	F	F	F		F		F	F	F	F	F														F	F	F	F	F	
			F	F	F	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	
			F	F	F	F	F				F	F	F	F	F	F	F	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	
			F	F	F	F	F	DL	F		F	F	F	F	F	F	F	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	
			F	F	F	F	F		F		F	F	F	F	F	F	F	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	
			F	F	F	F	F		F		F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	
																																		
